delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
0,11,3,6,15,14,ONT,SFO,363,OO
15,5,15,2,17,15,DTW,PHL,453,NW
0,2,8,4,10,8,RSW,ATL,515,FL
15,5,21,1,9,8,DEN,SLC,391,F9
30,8,14,2,11,8,ORD,LGA,733,UA
15,5,22,2,7,6,GSO,DTW,460,9E
0,9,5,3,18,18,DTW,MDW,229,WN
15,9,4,2,22,21,PDX,GEG,279,WN
15,7,18,3,9,8,ATL,ROA,357,EV
30,6,19,2,19,16,ORD,GSO,590,YV
30,6,18,1,18,15,PHL,TPA,920,US
45,4,11,3,20,19,DTW,MSP,528,NW
75,7,29,7,16,14,PHL,ORD,678,AA
15,12,14,5,14,13,PHX,SLC,507,WN
150,2,24,6,13,11,MSP,LAX,1536,NW
15,6,14,4,16,15,AUS,DAL,189,WN
60,3,1,4,14,12,CHS,CVG,497,EV
15,6,11,1,14,13,ORD,SPI,174,YV
135,2,21,3,14,11,MCO,MSP,1310,FL
15,6,19,2,17,13,MSP,ATL,906,EV
0,12,13,4,10,6,SJC,DEN,948,UA
0,10,18,4,7,6,ONT,SMF,389,WN
0,12,9,7,20,18,DFW,SLC,988,OO
15,6,28,4,9,7,ORD,BHM,584,MQ
30,8,16,4,16,14,ORF,JAX,543,WN
30,6,7,4,19,14,DFW,LGA,1389,AA
0,2,19,1,15,12,PSP,SLC,541,OO
15,3,6,2,16,14,ATL,JFK,760,DL
45,6,7,4,22,19,EWR,TPA,998,CO
30,5,22,2,21,18,SAT,ATL,874,EV
0,12,17,1,11,10,SMF,SFO,86,OO
0,7,24,2,14,12,CLD,PHX,306,YV
0,4,29,7,10,8,MCO,DFW,984,AA
0,4,18,3,13,7,DEN,LGA,1619,UA
0,10,26,5,18,16,SFO,SEA,679,UA
0,9,10,1,22,18,PHX,OKC,833,YV
0,3,2,5,21,19,LAS,SJC,386,WN
0,1,26,5,12,11,GFK,MSP,284,9E
0,9,13,4,11,10,DCA,LGA,214,DL
0,8,29,3,16,13,BNA,CVG,230,OH
0,3,16,5,21,16,PHX,STL,1262,WN
0,1,1,1,10,9,DTW,MCI,629,NW
0,2,19,1,18,16,ELP,DEN,563,OO
15,5,11,5,14,13,PIA,ORD,130,MQ
0,3,16,5,18,17,DAL,HOU,239,WN
0,4,26,4,22,21,SJC,LAX,308,MQ
0,3,26,1,13,13,SLC,BUR,574,OO
120,4,22,7,19,18,RNO,OAK,180,WN
15,3,11,7,17,16,ABE,ORD,654,YV
0,6,27,3,17,12,TUS,MSP,1298,NW
15,10,14,7,20,18,BNA,IAH,657,XE
0,1,26,5,13,12,PSP,LAX,110,OO
30,7,21,6,8,6,SGF,ATL,563,OH
0,11,6,2,8,6,LIT,ORD,552,MQ
180,5,1,2,16,14,JAN,ATL,341,EV
0,1,31,3,19,17,LGA,DEN,1619,F9
15,2,25,7,14,11,CMH,MIA,990,MQ
0,4,14,6,16,14,MCO,JFK,944,B6
15,2,16,5,13,12,STL,ORD,258,AA
30,2,17,6,19,17,FNT,RSW,1138,FL
195,3,1,4,12,11,EVV,ORD,273,MQ
0,3,29,4,10,9,MSP,TUS,1298,NW
0,2,8,4,12,11,DAB,ATL,366,FL
0,12,22,6,11,6,PSP,DFW,1126,AA
0,4,3,2,7,6,SAV,ATL,215,DL
180,7,11,3,19,18,AUS,DAL,189,WN
120,8,25,6,8,23,PDX,JFK,2454,B6
0,2,12,1,18,16,EWR,CLT,529,YV
0,2,8,4,11,11,RDU,CLT,130,US
0,1,29,1,14,10,LAS,HNL,2762,HA
0,12,11,2,15,13,DCA,JFK,213,OH
15,8,15,3,8,6,BOS,ORD,867,AA
0,2,19,1,16,14,RDU,IAH,1043,XE
45,6,16,6,20,17,SEA,SFO,679,AS
0,6,22,5,15,13,ATL,GSO,306,EV
15,5,4,5,15,13,PHL,ATL,665,FL
0,12,30,7,13,11,PDX,OAK,543,AS
0,3,5,1,14,12,STL,CLE,487,XE
15,10,5,5,21,18,MEM,IND,381,NW
0,1,18,4,12,9,DCA,DFW,1192,AA
60,5,13,7,0,22,SEA,FAI,1533,AS
15,2,5,1,16,14,MEM,MSP,700,NW
0,3,30,5,19,17,ORF,ORD,717,OO
0,11,23,5,18,17,ONT,LAS,197,WN
15,9,20,4,16,15,DCA,BOS,399,US
30,4,30,1,18,17,COS,PHX,551,YV
0,6,18,1,20,17,PBI,BOS,1197,B6
0,2,1,4,20,19,SAN,OAK,446,WN
0,5,20,7,15,14,FAT,LAX,209,OO
30,12,11,2,21,19,CLT,ORD,599,MQ
0,8,16,4,15,13,OKC,SLC,866,OO
0,8,30,4,16,11,DEN,DTW,1123,NW
0,4,20,5,16,14,ORD,MSP,334,AA
15,5,22,2,20,18,TPA,IAH,787,CO
30,12,3,1,10,8,CLE,LAX,2053,CO
15,11,10,6,7,5,EKO,SLC,200,OO
15,12,26,3,19,18,DCA,LGA,214,DL
0,10,15,1,13,12,MSP,DEN,680,NW
0,10,24,3,11,10,SLC,GJT,217,OO
0,4,4,3,10,9,CVG,IAD,388,OH
15,10,18,4,19,18,TUL,MCI,223,WN
0,12,8,6,0,21,DFW,DCA,1192,AA
15,4,2,1,19,18,ATL,GNV,300,EV
30,5,27,7,9,8,DFW,TUL,237,AA
30,10,8,1,19,17,MSP,IND,503,NW
0,1,24,3,8,5,PHL,IAH,1324,CO
0,5,25,5,16,8,PHX,FLL,1972,US
15,6,15,5,0,18,DEN,BOS,1754,UA
15,2,26,1,22,21,SEA,GEG,224,AS
75,7,2,1,13,8,OAK,DFW,1456,AA
30,12,16,7,18,16,RDU,BOS,612,MQ
15,12,2,7,21,19,PDX,LAS,762,AS
15,3,6,2,10,8,IAH,BNA,657,XE
0,7,9,1,21,20,MCO,LAS,2039,US
0,5,25,5,11,8,MEM,SFO,1807,NW
15,8,26,7,19,17,MIA,DCA,920,AA
15,4,17,2,14,12,DCA,BOS,399,OH
0,6,30,6,10,9,DFW,AMA,313,MQ
75,3,22,4,18,17,HOU,SAT,192,WN
75,5,19,6,19,16,JFK,MCO,944,DL
0,9,16,7,19,17,AGS,ATL,143,EV
