fgm,period,shot_clock,dribbles,touch_time,shot_dist,pts_type,close_def_dist,shooter_height,defender_height,player_name
0,1,20,2,4,4.9,2,3,78,85,shabazz muhammad
1,1,12.9,0,1,24.2,3,5.1,78,73,michael carter-williams
1,2,21.5,0,0.2,3.4,2,5.4,83,81,mason plumlee
0,1,6.4,1,1.7,12.3,2,2.3,85,85,marc gasol
0,2,11.3,1,4.6,7.2,2,2.6,80,85,kenneth faried
1,1,7.4,3,4.3,3.5,2,0,81,83,zach randolph
1,2,5.8,5,3.4,11.1,2,7.6,74,83,tony parker
0,5,3.3,3,3.9,4.2,2,2,73,73,eric bledsoe
0,4,14.7,0,0.8,25,3,7.7,85,83,timofey mozgov
1,1,9,0,0.9,25.6,3,10.7,73,79,trey burke
0,1,9.3,0,2.4,4.8,2,1.9,85,85,steven adams
1,4,24,0,0.4,1.9,2,3.3,82,85,jon leuer
1,3,15.3,8,7.5,12.2,2,1.7,75,83,russell westbrook
1,1,13.8,1,3.6,17.6,2,4,82,82,kevin love
1,1,12.22,3,3.9,2.7,2,1.9,78,77,michael carter-williams
0,1,14.4,1,1.6,18.2,2,5.5,80,85,nicolas batum
0,4,1,6,6.6,13.8,2,3,77,79,kentavious caldwell-pope
1,1,9.8,0,3.1,6.1,2,2.5,83,82,zaza pachulia
0,3,1.9,8,6,12.9,2,3.3,81,83,david west
0,1,12.22,0,0.8,24.5,3,5.7,81,82,jeff green
0,3,15.2,11,9.3,24.8,3,6.9,74,73,jeff teague
0,4,11.9,0,0.6,24.5,3,5.8,83,82,charlie villanueva
1,2,14.7,2,2.1,13.9,2,2.7,79,73,klay thompson
1,2,7.8,0,1.1,22.7,3,5.8,80,80,jerami grant
0,3,9.7,0,1,16.8,2,8.7,76,85,victor oladipo
1,1,13,0,0.9,19.9,2,6.2,82,82,henry sims
0,1,5,0,0.8,20.6,2,4,81,80,luol deng
0,1,10.4,1,2.3,25.3,3,4.6,75,74,derrick rose
1,3,15,2,3.2,26.1,3,3.1,79,77,gerald green
0,1,19.6,3,4.3,3.8,2,5,77,85,james harden
0,4,4.9,0,2.7,21.6,3,0.5,78,83,vince carter
0,4,9.3,5,5.4,20,2,4.3,75,76,jarrett jack
1,4,4,1,4.5,5.6,2,0.7,85,78,marc gasol
1,1,10,0,0.8,19.9,2,5.4,85,85,marc gasol
0,1,11.8,1,3.4,4.9,2,2.7,85,85,steven adams
1,3,18.5,0,0.8,8.4,2,2.6,83,78,lamarcus aldridge
1,4,12,0,0.7,22.9,3,5.1,81,80,patrick patterson
0,4,10.8,5,3.7,15.8,2,5.7,81,85,marcus morris
1,2,11.5,4,4.5,6,2,4,82,81,henry sims
0,4,12.4,0,0,3,2,2.3,79,81,evan fournier
1,2,1.9,0,0.8,20.4,2,6,85,83,nikola vucevic
1,4,19.1,7,4.7,1.3,2,3.4,73,85,eric bledsoe
0,1,6.4,0,1.3,16.7,2,4.4,82,82,al jefferson
0,4,5.7,1,1.4,22.3,2,1.9,78,75,cj miles
0,4,12.3,0,1,24.8,3,6.4,79,81,quincy acy
1,1,16.2,0,0.6,1.6,2,3.5,81,81,david west
0,2,13.4,12,10.5,5.6,2,3.6,73,83,aaron brooks
0,4,14.8,0,0.3,5.8,2,5.3,83,77,marcin gortat
0,1,6,0,0.7,6.4,2,3.2,83,80,kevin garnett
1,1,12.8,0,2,16.2,2,4.1,78,77,shabazz muhammad
1,1,11.6,0,0.8,18.7,2,5,77,80,rodney stuckey
0,3,13.1,0,1,24.4,3,9.3,85,83,donatas motiejunas
1,3,3,1,1.9,24.5,3,4.5,77,74,wesley matthews
0,1,16.8,1,3.8,5.9,2,1.4,80,80,carmelo anthony
0,3,7,0,1,17.3,2,1.7,74,77,avery bradley
1,3,9.7,2,6.5,10,2,1.9,83,82,tim duncan
0,1,14,2,2.4,4.4,2,1.4,73,73,mike conley
1,4,12,0,1,19.4,2,11.2,83,79,giannis antetokounmpo
0,6,2,16,18,13.8,2,1.5,79,83,joe johnson
0,4,24,0,0.1,1.3,2,2.1,83,81,andre drummond
